row_index,school_name,n_category,n_grade
280,Baldwin Wallace University,Athletics,C
281,Baldwin Wallace University,Party Scene,C+
282,Baldwin Wallace University,Professors,A-
283,Baldwin Wallace University,Location,A-
284,Baldwin Wallace University,Dorms,B-
285,Baldwin Wallace University,Campus Food,C+
286,Baldwin Wallace University,Student Life,B
287,Baldwin Wallace University,Safety,A-
288,Baptist Bible College,Academics,C-
289,Baptist Bible College,Value,C+
290,Baptist Bible College,Diversity,C+
291,Baptist Bible College,Campus,NG
292,Baptist Bible College,Athletics,D-
293,Baptist Bible College,Party Scene,NG
294,Baptist Bible College,Professors,C-
295,Baptist Bible College,Location,B-
296,Baptist Bible College,Dorms,A-
297,Baptist Bible College,Campus Food,NG
298,Baptist Bible College,Student Life,C
299,Baptist Bible College,Safety,B+
300,Amherst College,Academics,A+
301,Amherst College,Value,A+
302,Amherst College,Diversity,A+
303,Amherst College,Campus,A-
304,Amherst College,Athletics,A
305,Amherst College,Party Scene,B
306,Amherst College,Professors,A+
307,Amherst College,Location,B+
308,Amherst College,Dorms,A
309,Amherst College,Campus Food,B-
310,Amherst College,Student Life,A+
311,Amherst College,Safety,A-
312,Andrew College,Academics,C
313,Andrew College,Value,C
314,Andrew College,Diversity,A
315,Andrew College,Campus,NG
316,Andrew College,Athletics,C
317,Andrew College,Party Scene,NG
318,Andrew College,Professors,B-
319,Andrew College,Location,C-
320,Andrew College,Dorms,NG
321,Andrew College,Campus Food,NG
322,Andrew College,Student Life,C-
323,Andrew College,Safety,A+
324,Andrews University,Academics,A
325,Andrews University,Value,B+
326,Andrews University,Diversity,A+
327,Andrews University,Campus,B
328,Andrews University,Athletics,D
329,Andrews University,Party Scene,C-
330,Andrews University,Professors,A-
331,Andrews University,Location,C-
332,Andrews University,Dorms,B
333,Andrews University,Campus Food,A+
334,Andrews University,Student Life,C+
335,Andrews University,Safety,B+
336,Angelo State University,Academics,B-
337,Angelo State University,Value,B
338,Angelo State University,Diversity,B+
339,Angelo State University,Campus,B+
340,Angelo State University,Athletics,B+
341,Angelo State University,Party Scene,B
342,Angelo State University,Professors,B-
343,Angelo State University,Location,C+
344,Angelo State University,Dorms,A
345,Angelo State University,Campus Food,B+
346,Angelo State University,Student Life,B-
347,Angelo State University,Safety,B
348,Anna Maria College,Academics,C
349,Anna Maria College,Value,B-
350,Anna Maria College,Diversity,B+
351,Anna Maria College,Campus,C
352,Anna Maria College,Athletics,C+
353,Anna Maria College,Party Scene,C+
354,Anna Maria College,Professors,C
355,Anna Maria College,Location,C-
356,Anna Maria College,Dorms,C+
357,Anna Maria College,Campus Food,B-
358,Anna Maria College,Student Life,C+
359,Anna Maria College,Safety,A-
360,Antelope Valley College,Academics,C
361,Antelope Valley College,Value,C
362,Antelope Valley College,Diversity,A-
363,Antelope Valley College,Campus,C+
364,Antelope Valley College,Athletics,C
365,Antelope Valley College,Party Scene,C
366,Antelope Valley College,Professors,C+
367,Antelope Valley College,Location,C+
368,Antelope Valley College,Dorms,NG
369,Antelope Valley College,Campus Food,NG
370,Antelope Valley College,Student Life,C+
371,Antelope Valley College,Safety,B
372,Art Academy of Cincinnati,Academics,B-
373,Art Academy of Cincinnati,Value,C+
374,Art Academy of Cincinnati,Diversity,B
375,Art Academy of Cincinnati,Campus,NG
376,Art Academy of Cincinnati,Athletics,NG
377,Art Academy of Cincinnati,Party Scene,NG
378,Art Academy of Cincinnati,Professors,C
379,Art Academy of Cincinnati,Location,A-
380,Art Academy of Cincinnati,Dorms,NG
381,Art Academy of Cincinnati,Campus Food,NG
382,Art Academy of Cincinnati,Student Life,B-
383,Art Academy of Cincinnati,Safety,A
384,Asbury University,Academics,B
385,Asbury University,Value,B+
386,Asbury University,Diversity,B+
387,Asbury University,Campus,B+
388,Asbury University,Athletics,C+
389,Asbury University,Party Scene,C-
390,Asbury University,Professors,B-
391,Asbury University,Location,B-
392,Asbury University,Dorms,A
393,Asbury University,Campus Food,B
394,Asbury University,Student Life,B+
395,Asbury University,Safety,A
396,Ashland University,Academics,B
397,Ashland University,Value,B+
398,Ashland University,Diversity,B
399,Ashland University,Campus,B+
400,Ashland University,Athletics,A-
401,Ashland University,Party Scene,C
402,Ashland University,Professors,B
403,Ashland University,Location,C-
404,Ashland University,Dorms,C+
405,Ashland University,Campus Food,A+
406,Ashland University,Student Life,B-
407,Ashland University,Safety,B
408,Atlanta Metropolitan State College,Academics,C-
409,Atlanta Metropolitan State College,Value,C
410,Atlanta Metropolitan State College,Diversity,B
411,Atlanta Metropolitan State College,Campus,B-
412,Atlanta Metropolitan State College,Athletics,C
413,Atlanta Metropolitan State College,Party Scene,NG
414,Atlanta Metropolitan State College,Professors,C+
415,Atlanta Metropolitan State College,Location,A-
416,Atlanta Metropolitan State College,Dorms,NG
417,Atlanta Metropolitan State College,Campus Food,NG
418,Atlanta Metropolitan State College,Student Life,C+
419,Atlanta Metropolitan State College,Safety,B-
420,Auburn University,Academics,A-
421,Auburn University,Value,A
422,Auburn University,Diversity,A-
423,Auburn University,Campus,A
424,Auburn University,Athletics,A+
425,Auburn University,Party Scene,A
426,Auburn University,Professors,A
427,Auburn University,Location,B+
428,Auburn University,Dorms,B
429,Auburn University,Campus Food,A
430,Auburn University,Student Life,A+
431,Auburn University,Safety,B
432,Auburn University at Montgomery,Academics,B-
433,Auburn University at Montgomery,Value,B-
434,Auburn University at Montgomery,Diversity,A-
435,Auburn University at Montgomery,Campus,B-
436,Auburn University at Montgomery,Athletics,B
437,Auburn University at Montgomery,Party Scene,B-
438,Auburn University at Montgomery,Professors,A-
439,Auburn University at Montgomery,Location,B-
440,Auburn University at Montgomery,Dorms,B+
441,Auburn University at Montgomery,Campus Food,B
442,Auburn University at Montgomery,Student Life,B-
443,Auburn University at Montgomery,Safety,B-
444,Appalachian Bible College,Academics,B
445,Appalachian Bible College,Value,B-
446,Appalachian Bible College,Diversity,B+
