row_index,school_name,usn_category,usn_rank
194,Augustana College,First-Year Experiences,36
195,Augustana University,Regional Universities Midwest,13
196,Augustana University,Best Undergraduate Teaching,15
197,Augustana University,Best Value Schools,7
198,Augustana University,Most Innovative Schools,8
199,Augustana University,Top Performers on Social Mobility,141
200,Augusta University,Top Performers on Social Mobility,129
201,Aurora University,Top Performers on Social Mobility,161
202,Austin College,National Liberal Arts Colleges,102
203,Austin College,Best Value Schools,43
204,Austin College,Top Performers on Social Mobility,58
205,Austin Peay State University,Regional Universities South,53
206,Austin Peay State University,Best Colleges for Veterans,34
207,Austin Peay State University,Top Performers on Social Mobility,61
208,Austin Peay State University,Top Public Schools,25
209,Ave Maria University,Top Performers on Social Mobility,157
210,Averett University,Regional Colleges South,18
211,Averett University,Best Colleges for Veterans,7
212,Averett University,Top Performers on Social Mobility,16
213,Alice Lloyd College,Regional Colleges South,26
214,Alice Lloyd College,Best Value Schools,4
215,Alice Lloyd College,Top Performers on Social Mobility,12
216,Allegheny College,National Liberal Arts Colleges,80
217,Allegheny College,Best Undergraduate Teaching,19
218,Allegheny College,Best Value Schools,46
219,Allegheny College,Most Innovative Schools,29
220,Allegheny College,Top Performers on Social Mobility,94
221,Allegheny College,First-Year Experiences,33
222,Allegheny College,Senior Capstone,14
223,Allegheny College,Undergraduate Research/Creative Projects,22
224,Allen University,Top Performers on Social Mobility,193
225,Alliant International University - San Diego,Top Performers on Social Mobility,340
226,Alma College,Regional Colleges Midwest,10
227,Alma College,Best Value Schools,7
228,Alma College,Top Performers on Social Mobility,27
229,Alvernia University,Regional Universities North,96
230,Alvernia University,Top Performers on Social Mobility,122
231,Alverno College,Regional Universities Midwest,65
232,Alverno College,Best Undergraduate Teaching,1
233,Alverno College,Best Value Schools,46
234,Alverno College,Most Innovative Schools,1
235,Alverno College,Top Performers on Social Mobility,77
236,Alverno College,First-Year Experiences,22
237,Bard College,National Liberal Arts Colleges,54
238,Bard College,Best Undergraduate Teaching,30
239,Bard College,Best Value Schools,40
240,Bard College,Most Innovative Schools,4
241,Bard College,Top Performers on Social Mobility,103
242,Bard College,First-Year Experiences,12
243,Bard College,Senior Capstone,16
244,Bard College at Simon's Rock,Regional Colleges North,15
245,Bard College at Simon's Rock,Best Undergraduate Teaching,1
246,Bard College at Simon's Rock,Most Innovative Schools,2
247,Bard College at Simon's Rock,Top Performers on Social Mobility,47
248,Barnard College,National Liberal Arts Colleges,22
249,Barnard College,Best Undergraduate Teaching,57
250,Barnard College,Best Value Schools,81
251,Barnard College,Most Innovative Schools,29
252,Barnard College,Top Performers on Social Mobility,81
253,Barnard College,First-Year Experiences,56
254,Barry University,Top Performers on Social Mobility,106
255,Barton College,Regional Colleges South,10
256,Barton College,Best Undergraduate Teaching,9
257,Barton College,Best Value Schools,8
258,Barton College,Most Innovative Schools,4
259,Barton College,Top Performers on Social Mobility,19
260,Bates College,National Liberal Arts Colleges,22
261,Bates College,Best Undergraduate Teaching,11
262,Bates College,Best Value Schools,31
263,Bates College,Most Innovative Schools,6
264,Bates College,Top Performers on Social Mobility,173
265,Bates College,First-Year Experiences,27
266,Bates College,Senior Capstone,16
267,Bates College,Undergraduate Research/Creative Projects,30
268,Baylor University,National Universities,76
269,Baylor University,Best Colleges for Veterans,47
270,Baylor University,Best Undergraduate Teaching,31
271,Baylor University,Most Innovative Schools,25
272,Baylor University,Top Performers on Social Mobility,328
273,Baylor University,Entrepreneurship,8
274,Baylor University,Best Undergraduate Engineering Programs,118
275,Baylor University,First-Year Experiences,19
276,Baylor University,Undergraduate Research/Creative Projects,28
277,Bay State College,Top Performers on Social Mobility,28
278,Bay Path University,Regional Universities North,105
279,Bay Path University,Best Undergraduate Teaching,28
280,Bay Path University,Most Innovative Schools,12
281,Bay Path University,Top Performers on Social Mobility,68
282,Beacon College,Regional Colleges South,31
283,Beacon College,Top Performers on Social Mobility,76
284,Becker College,Top Performers on Social Mobility,50
285,Belhaven University,Regional Universities South,53
286,Belhaven University,Best Colleges for Veterans,34
287,Belhaven University,Best Value Schools,23
288,Belhaven University,Top Performers on Social Mobility,66
289,Bellarmine University,National Universities,206
290,Bellarmine University,Top Performers on Social Mobility,154
291,Bellevue University,Top Performers on Social Mobility,139
292,Belmont Abbey College,Regional Colleges South,18
293,Belmont Abbey College,Best Undergraduate Teaching,9
294,Belmont Abbey College,Best Value Schools,14
295,Belmont Abbey College,Top Performers on Social Mobility,66
296,Belmont University,National Universities,160
297,Belmont University,Best Colleges for Veterans,114
298,Belmont University,Best Undergraduate Teaching,24
299,Belmont University,Best Value Schools,96
300,Belmont University,Most Innovative Schools,42
301,Belmont University,Top Performers on Social Mobility,361
302,Belmont University,First-Year Experiences,13
303,Belmont University,Learning Communities,12
304,Belmont University,Senior Capstone,23
305,Beloit College ,National Liberal Arts Colleges,80
306,Beloit College ,Best Undergraduate Teaching,57
307,Beloit College ,Best Value Schools,48
308,Beloit College ,Most Innovative Schools,5
309,Beloit College ,Top Performers on Social Mobility,58
310,Beloit College ,First-Year Experiences,24
311,Bemidji State University,Regional Universities Midwest,86
312,Bemidji State University,Top Performers on Social Mobility,17
313,Bemidji State University,Top Public Schools,22
314,Benedict College ,Top Performers on Social Mobility,53
315,Benedictine College,Regional Colleges Midwest,14
316,Benedictine College,Best Undergraduate Teaching,7
317,Benedictine College,Best Value Schools,26
318,Benedictine College,Top Performers on Social Mobility,50
319,Benedictine College,Best Undergraduate Engineering Programs,192
320,Benedictine University,Top Performers on Social Mobility,71
321,American International College,Top Performers on Social Mobility,173
322,American University,National Universities,76
323,American University,Best Colleges for Veterans,47
324,American University,Best Undergraduate Teaching,25
325,American University,Best Value Schools,84
326,American University,Most Innovative Schools,35
327,American University,Top Performers on Social Mobility,209
328,American University,International Business,9
329,American University,First-Year Experiences,43
330,American University,Study Abroad,11
331,Bennett College,Top Performers on Social Mobility,37
332,Bennett College,Historically Black Colleges and Universities,38
333,Bennington College,National Liberal Arts Colleges,76
334,Bennington College,Best Undergraduate Teaching,38
335,Bennington College,Best Value Schools,63
336,Bennington College,Most Innovative Schools,14
337,Bennington College,Top Performers on Social Mobility,94
338,Bentley University,Regional Universities North,1
339,Bentley University,Best Undergraduate Teaching,28
340,Bentley University,Best Value Schools,2
341,Bentley University,Most Innovative Schools,4
342,Bentley University,Top Performers on Social Mobility,141
343,Bentley University,Co-ops/Internships,17
344,Berea College,National Liberal Arts Colleges,33
345,Berea College,Best Undergraduate Teaching,11
346,Berea College,Most Innovative Schools,2
347,Berea College,Top Performers on Social Mobility,9
348,Berea College,First-Year Experiences,7
349,Berea College,Service Learning,1
350,Berea College,Co-ops/Internships,6
351,Berkeley College-Woodland Park Campus,Top Performers on Social Mobility,32
352,Berry College,Regional Universities South,4
353,Berry College,Best Undergraduate Teaching,3
354,Berry College,Best Value Schools,1
355,Berry College,Most Innovative Schools,7
356,Berry College,Top Performers on Social Mobility,88
357,Berry College,First-Year Experiences,51
358,Berry College,Service Learning,14
359,Bethany College,Top Performers on Social Mobility,131
360,Boise State University,Top Performers on Social Mobility,265
361,Boise State University,Best Undergraduate Engineering Programs,132
362,Boston College,National Universities,35
