College,Uuid
Atlanta Technical College,6ffecf1f-9bb3-4226-a89e-95f14ff95393
Atlantic Cape Community College,012e3bb4-5dcd-4b78-8fe4-832290d00cc8
Atlantic Institute of Oriental Medicine,d69c8c92-9bd6-4e5a-9cd8-7284d6152fef
Atlantic Technical College,9b064037-a531-48dc-acd9-89342358927b
Atlantic University College,b8d6df0b-001c-46e8-a016-49f2b45da658
Auburn Career Center,a9620d9b-e4da-4c3e-8a31-c8dd31381cc5
Auburn University,d4afc202-a90c-4cb9-9c9f-f7d0e9db2743
Auburn University at Montgomery,386512d4-cfa8-4dd3-ac4b-04df072afacb
Augsburg University,a33d388d-1d11-4735-98ba-c60ffb44788c
Augusta Technical College,5ec1d3b4-4159-40e4-8de0-31c5d55970ce
Augusta University,24d22173-9460-4b09-a17e-eb442f338a8d
Augustana College - Illinois,f00515e5-098a-4a8e-86b1-959f36b01f1c
Augustana University,1976253d-1468-4520-965e-357aa7797732
Aultman College of Nursing & Health Sciences,7bf8a2d6-d86e-430a-a25a-95b5be2a3f81
Aurora University,5748c9fd-de4f-4f98-9db1-cd01ce00b69c
Austin College,8f774566-01a0-478e-a103-13520a56715f
Austin Community College District,09b098e4-2ff6-4f0c-8a9c-185e4ef69ca7
Austin Peay State University,dc2b083e-e598-4f67-ac9b-111a94edac06
Automotive Training Center - Exton,bdf3ac05-da22-47bf-b2d8-7f84106e6ec0
Avalon School of Cosmetology - Layton,bd79d925-08f4-40ed-af2e-f4ed2431c45a
Avalon School of Cosmetology - Phoenix,6deb8e26-bd27-41df-a8fa-b7f0bd399d53
Ave Maria University,8cfba12c-ad7e-4041-8148-06a5d2c546a8
Aveda Fredric's Institute - Indianapolis,00e241f0-85a3-463b-b61a-df06bf3aa565
Aveda Institute,c8f3f92f-3b98-4817-88b3-200acb9f2aca
Aveda Institute - Chapel Hill,fe95125e-6a7b-4de9-8892-9e0d1202bfc2
Aveda Institute - Denver,d78a55dd-b86f-4209-8cd9-d1aff0dc078c
Aveda Institute - Des Moines,b7f10b90-9217-4934-b61e-8b5c1f0dc0ce
Aveda Institute - Las Vegas,5f89506f-aaf6-499c-b9e0-45bb1d706bd1
Aveda Institute - Minneapolis,56e8df74-3240-4872-a921-6805e34803b5
Aveda Institute - Portland,eb5a5254-01c4-4b7e-8a91-fb6e569a1d3d
Aveda Institute - San Antonio,4d3d371c-893a-4106-b8bf-14e92bdaf91e
Averett University,5e85a14e-fd49-45fb-a674-53fec546fda3
Averett University - Non-Traditional Programs,f2880d18-60c8-459c-8749-686a19ec8f69
Avi Career Training,8e76dd61-ac9b-4561-a6c3-a9092e8db7a6
Aviation Institute of Maintenance,ceaa9177-bbce-482e-91e9-4ef64ae1cea6
Aviation Institute of Maintenance - Atlanta,cdacee31-3804-4eff-834e-d8929d0067e1
Aviation Institute of Maintenance - Indianapolis,f06d40b7-fd94-4a4a-a058-3197360e9876
Aviation Institute of Maintenance - Kansas City,265563b8-801c-4d79-aa23-0f3462819ebe
Aviation Institute of Maintenance - Orlando,2fa612b8-0dcd-4245-a645-91ce9b71d164
Aviator College of Aeronautical Science & Technology,343da234-ff44-449d-bf34-3e910f3554af
Avila University,4f0baadc-0a36-4b7b-8dbd-2d575f73c604
Azusa Pacific University,c1f218c4-23b3-45f5-ac04-bb136e1fd6aa
Babson College,6fb0ee68-051c-4fb6-b0b5-6419be89d63e
Baker College,967dea19-2505-44fa-a4b1-c4929e429970
Baker College of Allen Park,5aea0037-cf31-4b29-b7e1-0edfc7e0ee52
Baker College of Auburn Hills,ca71e357-7177-4508-96cd-57cc2aa7a04b
Baker College of Cadillac,7863f61a-35e9-4863-bcb7-298dfe166616
